Evento,Recinto,Artista,Ciudad,Pais,Fecha de incio,Productora
BZRP Tour,Pabellon Max Schmeling,Paulo Londra,BERLIN,ALEMANIA,09/05/2020,Nachhaltige Events
Como si no importara,Arena Ludwingsburg,Emilia,LUDWINGSBURG,ALEMANIA,23-01-2021,fullevent.de
Born this way,Irving Plaza,Lady Gaga,NUEVA YORK,ESTADOS UNIDOS,12/09/2020,CSI DMC
El Duko2.0,Thunder Bay,Duki,ONTARIO,CANADA,29-07-2020,EventsEye
LOS APARATOS,Tarpeian Precinct Lawn,Trueno,SYDNEY,AUTRALIA,12/08/2018,YouTOOProject
Reputation,Raley Field,Taylor Swift,SACRAMENTO,ESTADOS UNIDOS,30-03-2016,Live Nation
WAP,E-Werk,Cardi B,COLOGNE,ALEMANIA,06/03/2016,MGC
BZRP Tour,Pabellon Max Schmeling,Snow,BERLIN,ALEMANIA,09/05/2020,Nachhaltige Events
One Night Only,Bilbao Arena,Bee Gees,BILBAO,ESPAÑA,10/08/2021,Ibolele Producciones
Dia Cero,Forest National,La Ley,FOREST,BELGICA,14-11-2018,Global Journey
CARAVANA,Don Haskins Center,Wos,TEXAS,ESTADOS UNIDOS,05/01/2019,Event Production Company
WAP,Madison Square Garden,Cardi B,NUEVA YORK,ESTADOS UNIDOS,23-12-2018,The Imagos
Mil Rosas,Leons Centre,La Oreja de Van Gogh,ONTARIO,CANADA,18-01-2018,Eventos Toronto Shaddai
Quedate,Mercedes-Benz Arena,Quevedo,BERLIN,ALEMANIA,19-01-2022,Eventveranstalter Hamburg
Lively And Supreme,Quinta Vergara,Armin Van Buuren,VIÑA DEL MAR,CHILE,30-08-2018,G & t business group spa
Anastasia,Pabellon Fuente de San Luis,Cami,VALENCIA,ESPAÑA,04/07/2020,Planet Events
Myrad,Teatro Municipal de Santiago,Nicky Romero,SANTIAGO,CHILE,03/05/2016,Universal circus
Dolby Live,Palais 12,Aerosmith,BRUSELAS,BELGICA,07/06/2016,Top Bruselas
Disney Concert,Estadio Unico Diego Armando Maradona,Olivia Rodrigo,BUENOS AIRES,ARGENTINA,15-03-2016,ATOMIC FILMS
Map of the Soul,Teatro Municipal de Santiago,BTS,SANTIAGO,CHILE,05/12/2020,Capsule producciones spa
A7S Show,Carrer Baix Vinalopo,A7S,MISLATA,ESPAÑA,06/01/2019,Live Nation
Show Forest,Radio City Music Hall,5 Seconds of Summer,NUEVA YORK,ESTADOS UNIDOS,11/04/2016,Hartmann Studios
El Duko2.0,Thunder Bay,Duki,ONTARIO,CANADA,29-07-2020,EventsEye
The Misery,Spark Arena,Imagine Dragons,AUCKLAND,NUEVA ZELANDA,27-10-2020,Queenstown Event Company
