Evento,Recinto,Artista,Ciudad,Fecha de incio,Productora
BZRP Tour,Pabellon Max Schmeling,14,1,2020-09-05,Nachhaltige Events
Como si no importara,Arena Ludwingsburg,37,2,23-01-2021,fullevent.de
Born this way,Irving Plaza,93,3,2020-12-09,CSI DMC
El Duko2.0,Thunder Bay,1,4,29-07-2020,EventsEye
LOS APARATOS,Tarpeian Precinct Lawn,98,5,2018-12-08,YouTOOProject
Reputation,Raley Field,142,6,30-03-2016,Live Nation
WAP,E-Werk,186,7,2016-06-03,MGC
BZRP Tour,Pabellon Max Schmeling,169,1,2020-09-05,Nachhaltige Events
One Night Only,Bilbao Arena,81,8,2021-10-08,Ibolele Producciones
Dia Cero,Forest National,184,9,14-11-2018,Global Journey
CARAVANA,Don Haskins Center,156,10,2019-05-01,Event Production Company
WAP,Madison Square Garden,186,3,23-12-2018,The Imagos
Mil Rosas,Leons Centre,196,4,18-01-2018,Eventos Toronto Shaddai
Quedate,Mercedes-Benz Arena,178,1,19-01-2022,Eventveranstalter Hamburg
Lively And Supreme,Quinta Vergara,109,11,30-08-2018,G & t business group spa
Anastasia,Pabellon Fuente de San Luis,153,12,2020-04-07,Planet Events
Myrad,Teatro Municipal de Santiago,41,13,2016-03-05,Universal circus
Dolby Live,Palais 12,79,14,2016-07-06,Top Bruselas
Disney Concert,Estadio Unico Diego Armando Maradona,36,15,15-03-2016,ATOMIC FILMS
Map of the Soul,Teatro Municipal de Santiago,170,13,2020-05-12,Capsule producciones spa
A7S Show,Carrer Baix Vinalopo,131,16,2019-06-01,Live Nation
Show Forest,Radio City Music Hall,89,3,2016-11-04,Hartmann Studios
The Misery,Spark Arena,59,17,27-10-2020,Queenstown Event Company
Passionfruit,Club Blondie,8,13,18-05-2017,Producciones y eventos empire digital limitada
Concha Acústica UC 2022,Club Subterraneo,174,13,24-10-2022,Eventos mudness limitada
Fourplan Event,Olympiahalle,76,18,16-08-2016,Yataco
CLARITY,Estadio Nacional,30,13,17-08-2018,DG Medios y espectaculos s.a.
Passionfruit,Explanada Ciudad Empresarial,8,13,13-04-2020,Reverb - productora de eventos
